127.0.0.1 - - [25/Oct/2017:10:39:51 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/css/style.css HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/js/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/ HTTP/1.1" 200 6464
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/img/logo.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:52 +0900] "GET /tonight/img/jumbotronbackground.jpg HTTP/1.1" 200 292735
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:55 +0900] "GET /tonight/alist HTTP/1.1" 200 5023
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:55 +0900] "GET /tonight/uploadfiles/image2.jpg HTTP/1.1" 200 130901
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:56 +0900] "GET /tonight/views/member/loginForm.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:57 +0900] "GET /tonight/img/loginbackground.jpg HTTP/1.1" 200 118691
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:59 +0900] "POST /tonight/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:39:59 +0900] "GET /tonight/index.jsp HTTP/1.1" 200 6517
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:40:01 +0900] "GET /tonight/alist HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:40:04 +0900] "GET /tonight/uploadfiles/chicago.jpg HTTP/1.1" 200 71294
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:40:04 +0900] "GET /tonight/uploadfiles/bandmember.jpg HTTP/1.1" 200 9571
0:0:0:0:0:0:0:1 - - [25/Oct/2017:10:40:04 +0900] "GET /tonight/uploadfiles/ny.jpg HTTP/1.1" 200 53292
